Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,28.0,0,0,14.4583,C
0,3,male,28.0,0,0,7.55,S
0,3,male,7.0,4,1,29.125,Q
1,1,female,28.0,1,0,146.5208,C
1,3,female,29.0,0,2,15.2458,C
1,1,male,28.0,0,0,30.5,S
1,1,female,40.0,0,0,153.4625,S
1,1,female,31.0,0,2,164.8667,S
1,1,male,25.0,1,0,91.0792,C
1,3,female,28.0,0,0,7.2292,C
0,3,male,26.0,1,0,7.8542,S
1,2,female,40.0,0,0,13.0,S
0,3,male,28.0,0,0,7.75,Q
1,2,female,7.0,0,2,26.25,S
1,1,female,24.0,0,0,83.1583,C
0,3,female,14.0,0,0,7.8542,S
0,3,male,23.0,0,0,9.225,S
0,2,male,19.0,1,1,36.75,S
0,3,male,35.0,0,0,8.05,S
1,3,male,0.42,0,1,8.5167,C
0,2,male,18.0,0,0,11.5,S
1,1,female,22.0,0,0,151.55,S
0,3,male,28.0,0,0,7.7375,Q
0,1,male,28.0,0,0,31.0,S
0,3,female,22.0,0,0,9.8375,S
1,1,female,40.0,1,1,134.5,C
0,3,male,32.0,0,0,7.8958,S
1,3,female,22.0,0,0,7.75,S
1,2,female,25.0,0,1,26.0,S
0,3,female,2.0,3,2,27.9,S
0,3,male,33.0,0,0,8.6625,C
1,2,female,50.0,0,0,10.5,S
0,3,male,28.0,0,0,9.5,S
1,1,male,28.0,0,0,35.5,S
0,3,male,29.0,1,0,7.0458,S
1,1,male,32.0,0,0,30.5,C
0,3,male,43.0,0,0,6.45,S
0,2,male,28.0,0,0,10.5,S
0,2,male,25.0,0,0,13.0,S
0,2,male,54.0,0,0,14.0,S
1,1,male,60.0,1,1,79.2,C
0,3,male,25.0,0,0,7.225,C
0,3,male,28.0,0,0,14.5,S
0,3,male,14.0,4,1,39.6875,S
1,1,female,35.0,1,0,83.475,S
0,3,male,28.0,0,0,7.8958,S
0,3,male,28.0,0,0,7.8958,S
1,1,female,18.0,2,2,262.375,C
0,2,male,39.0,0,0,13.0,S
0,1,male,52.0,1,1,79.65,S
1,1,male,28.0,0,0,30.0,S
1,1,male,23.0,0,1,63.3583,C
1,2,female,4.0,1,1,23.0,S
0,3,male,19.0,0,0,7.8958,S
1,1,male,28.0,0,0,29.7,C
0,2,male,24.0,2,0,73.5,S
0,1,male,62.0,0,0,26.55,S
0,3,female,11.0,4,2,31.275,S
0,3,male,10.0,3,2,27.9,S
1,3,male,28.0,2,0,23.25,Q
0,3,male,22.0,0,0,7.2292,C
0,3,female,29.0,0,4,21.075,S
1,1,female,54.0,1,0,78.2667,C
0,1,male,28.0,0,0,39.6,C
1,3,female,27.0,0,2,11.1333,S
0,3,male,32.0,0,0,7.75,Q
1,1,female,49.0,0,0,25.9292,S
0,2,male,28.0,0,1,33.0,S
1,2,female,2.0,1,1,26.0,S
1,1,female,19.0,0,0,30.0,S
1,2,female,24.0,1,0,26.0,S
1,1,male,48.0,1,0,52.0,S
0,1,male,28.0,1,0,82.1708,C
0,3,male,28.0,0,0,8.05,S
0,3,male,24.5,0,0,8.05,S
1,2,female,30.0,3,0,21.0,S
0,1,male,19.0,3,2,263.0,S
0,1,male,40.0,0,0,27.7208,C
0,3,male,34.0,0,0,6.4958,S
0,2,male,28.0,0,0,15.05,C
0,3,male,28.0,1,0,24.15,Q
1,3,male,9.0,1,1,15.9,S
0,2,female,26.0,1,1,26.0,S
0,3,male,16.0,0,0,7.775,S
0,2,male,46.0,0,0,26.0,S
1,1,female,21.0,0,0,77.9583,S
1,1,female,42.0,0,0,227.525,C
1,3,female,63.0,0,0,9.5875,S
1,2,female,34.0,0,0,10.5,S
0,1,male,18.0,1,0,108.9,C
0,1,male,28.0,0,0,0.0,S
0,3,male,19.0,0,0,7.8958,S
1,2,male,3.0,1,1,26.0,S
1,1,female,44.0,0,1,57.9792,C
0,3,female,9.0,3,2,27.9,S
0,3,male,28.0,0,0,7.2292,C
1,2,female,24.0,0,2,14.5,S
0,3,male,16.0,4,1,39.6875,S
0,1,male,60.0,0,0,26.55,S
1,1,male,27.0,0,0,76.7292,C
0,3,male,14.0,5,2,46.9,S
0,2,male,54.0,1,0,26.0,S
0,3,male,19.0,0,0,7.65,S
0,3,male,18.0,1,1,7.8542,S
0,3,female,29.0,1,1,10.4625,S
