Fare,Age,Sex_female,Sex_male
15.2458,29.0,1,0
10.5,31.0,0,1
37.0042,31.0,0,1
4.0125,20.0,0,1
7.25,21.0,0,1
28.5,45.5,0,1
8.05,22.0,0,1
7.8792,29.0,1,0
0.0,29.0,0,1
7.775,26.0,0,1
30.0,25.0,1,0
9.825,21.0,1,0
52.0,31.0,0,1
7.225,15.0,1,0
7.7375,29.0,1,0
7.75,29.0,0,1
61.9792,65.0,0,1
8.05,29.0,0,1
11.1333,1.0,1,0
26.55,34.0,0,1
0.0,49.0,0,1
8.05,18.0,0,1
14.4542,29.0,1,0
10.5,70.0,0,1
11.2417,14.0,1,0
8.05,19.0,0,1
24.0,30.0,0,1
18.0,31.0,1,0
8.3625,32.0,0,1
7.7333,16.0,1,0
8.05,50.0,0,1
7.05,24.0,0,1
35.5,56.0,0,1
39.6875,7.0,0,1
15.2458,9.0,1,0
12.275,33.0,0,1
7.8958,19.0,0,1
30.0708,32.5,0,1
20.575,1.0,0,1
27.9,45.0,1,0
110.8833,29.0,1,0
7.775,19.0,0,1
262.375,21.0,1,0
16.7,4.0,1,0
7.8958,28.0,0,1
7.925,17.0,1,0
16.1,30.0,0,1
7.25,22.0,0,1
13.5,45.0,1,0
0.0,25.0,0,1
20.2125,18.0,0,1
9.5,33.0,0,1
65.0,24.0,1,0
7.925,26.0,1,0
10.5167,22.0,1,0
26.55,56.0,0,1
15.85,28.0,0,1
512.3292,35.0,1,0
33.0,6.0,1,0
19.5,41.0,1,0
7.3125,29.0,0,1
7.2292,29.0,0,1
93.5,52.0,1,0
7.925,32.0,0,1
26.0,35.0,0,1
79.65,18.0,1,0
15.2458,29.0,0,1
8.1375,29.0,1,0
7.8958,29.0,0,1
8.05,29.0,0,1
12.475,27.0,1,0
7.8958,22.0,0,1
18.0,16.0,0,1
110.8833,49.0,0,1
0.0,29.0,0,1
46.9,16.0,1,0
17.8,18.0,1,0
7.75,29.0,1,0
8.05,45.0,0,1
31.3875,3.0,0,1
7.75,70.5,0,1
7.8958,29.0,0,1
21.6792,29.0,0,1
6.4375,34.5,0,1
0.0,40.0,0,1
15.5,29.0,0,1
14.4542,27.0,0,1
7.4958,18.0,1,0
27.7208,29.0,0,1
26.55,51.0,0,1
76.7292,49.0,1,0
46.9,1.0,0,1
77.2875,54.0,0,1
14.4583,29.0,1,0
36.75,8.0,0,1
247.5208,24.0,0,1
8.05,20.0,0,1
8.05,30.0,0,1
7.1417,24.0,0,1
7.8292,29.0,1,0
7.55,29.0,1,0
7.25,25.0,0,1
15.5,29.0,1,0
35.0,29.0,0,1
25.9292,48.0,1,0
7.775,74.0,0,1
7.8958,23.0,0,1
7.2292,17.0,0,1
25.4667,29.0,1,0
13.5,52.0,0,1
52.0,29.0,0,1
13.0,29.0,0,1
21.0,34.0,0,1
22.3583,29.0,1,0
32.5,34.0,1,0
13.0,24.0,1,0
10.5,29.0,0,1
13.0,36.0,0,1
33.5,61.0,0,1
26.55,45.0,0,1
13.0,34.0,0,1
51.8625,29.0,1,0
8.4333,21.0,0,1
19.9667,29.0,0,1
29.0,0.83,0,1
30.0,26.0,0,1
7.75,29.0,1,0
30.5,55.0,0,1
31.275,6.0,1,0
10.5,50.0,1,0
7.8958,26.0,0,1
13.0,34.0,0,1
29.125,39.0,1,0
24.15,30.0,1,0
7.25,29.0,0,1
7.125,22.0,0,1
26.2875,35.0,0,1
52.0,42.0,0,1
9.5,29.0,0,1
69.55,29.0,0,1
7.925,31.0,0,1
7.2292,29.0,0,1
24.15,29.0,1,0
134.5,41.0,1,0
13.0,28.0,1,0
61.175,46.0,0,1
15.5,29.0,0,1
55.9,50.0,0,1
7.05,38.0,0,1
18.7875,11.0,0,1
9.8458,20.0,0,1
21.0,35.0,1,0
24.15,39.0,0,1
20.525,9.0,0,1
10.5,19.0,0,1
15.5,40.0,0,1
8.6625,38.0,0,1
7.225,22.0,0,1
26.55,65.0,0,1
75.25,60.0,1,0
7.25,47.0,0,1
7.8958,29.0,0,1
61.3792,51.0,0,1
7.7958,21.0,0,1
13.0,27.0,0,1
53.1,27.0,0,1
89.1042,49.0,0,1
10.5,29.0,1,0
10.5,16.0,0,1
7.775,21.0,0,1
38.5,47.0,0,1
153.4625,58.0,1,0
15.75,40.0,1,0
7.05,35.0,0,1
7.75,51.0,0,1
13.8583,27.0,1,0
7.8958,33.0,0,1
39.0,4.0,1,0
7.8958,28.0,1,0
13.0,34.0,0,1
46.9,43.0,1,0
25.4667,29.0,1,0
133.65,29.0,1,0
79.65,39.0,1,0
52.0,29.0,1,0
7.775,18.0,1,0
93.5,30.0,1,0
7.925,23.0,1,0
